Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
1,1,0,58,0,1,153.46,0,0,1
1,1,0,35,0,0,135.63,0,0,1
0,1,1,28,0,0,31.0,0,0,1
1,3,1,25,0,0,0.0,0,0,1
1,2,0,41,0,1,19.5,0,0,1
0,1,1,37,0,1,29.7,1,0,0
1,3,0,28,0,0,7.75,0,1,0
1,1,0,63,1,0,77.96,0,0,1
0,3,0,45,0,0,7.75,0,0,1
0,2,1,28,0,0,0.0,0,0,1
0,3,1,7,4,1,29.12,0,1,0
1,3,0,35,1,1,20.25,0,0,1
0,3,1,65,0,0,7.75,0,1,0
0,3,1,28,0,0,7.85,0,0,1
0,3,1,16,0,0,9.5,0,0,1
1,3,1,19,0,0,8.05,0,0,1
0,1,1,28,0,0,26.0,0,0,1
0,3,1,33,0,0,8.66,1,0,0
1,3,1,30,0,0,9.5,0,0,1
0,3,1,22,0,0,7.9,0,0,1
1,2,1,42,0,0,13.0,0,0,1
1,3,0,22,0,0,7.75,0,1,0
1,1,0,26,0,0,78.85,0,0,1
1,1,0,19,1,0,91.08,1,0,0
0,2,1,36,0,0,12.88,1,0,0
0,3,0,24,0,0,8.85,0,0,1
0,3,1,24,0,0,7.9,0,0,1
0,1,1,28,0,0,27.72,1,0,0
0,3,1,23,0,0,7.23,1,0,0
0,1,0,2,1,2,151.55,0,0,1
1,1,1,28,0,0,30.5,0,0,1
1,1,0,50,0,1,247.52,1,0,0
1,3,0,28,0,0,7.75,0,1,0
1,3,1,28,2,0,23.25,0,1,0
0,3,1,19,0,0,0.0,0,0,1
1,2,0,28,0,0,12.35,0,1,0
0,3,1,28,0,0,8.05,0,0,1
1,1,1,0,1,2,151.55,0,0,1
1,1,0,28,0,0,110.88,1,0,0
1,1,0,17,1,0,108.9,1,0,0
0,2,1,30,1,0,24.0,1,0,0
1,1,0,30,0,0,56.93,1,0,0
1,1,0,24,0,0,83.16,1,0,0
1,1,0,18,2,2,262.38,1,0,0
0,2,0,26,1,1,26.0,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,2,1,43,1,1,26.25,0,0,1
1,3,0,26,0,0,7.85,0,0,1
1,2,0,24,1,0,26.0,0,0,1
0,2,1,54,0,0,14.0,0,0,1
1,1,0,31,0,2,164.87,0,0,1
1,1,0,40,1,1,134.5,1,0,0
0,3,1,22,0,0,7.25,0,0,1
0,3,1,27,0,0,7.9,0,0,1
1,2,0,30,0,0,12.35,0,1,0
1,2,0,22,1,1,29.0,0,0,1
0,3,1,28,8,2,69.55,0,0,1
1,1,0,36,0,0,135.63,1,0,0
0,3,1,61,0,0,6.24,0,0,1
1,2,0,36,0,0,13.0,0,0,1
1,3,0,31,1,1,20.52,0,0,1
1,1,0,16,0,1,57.98,1,0,0
1,3,0,28,2,0,23.25,0,1,0
0,1,1,45,0,0,28.5,0,0,1
0,1,1,38,0,1,153.46,0,0,1
0,3,1,16,2,0,18.0,0,0,1
1,1,0,28,1,0,133.65,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,1,1,29,1,0,66.6,0,0,1
1,1,0,41,0,0,134.5,1,0,0
1,3,1,45,0,0,8.05,0,0,1
0,1,1,45,0,0,35.5,0,0,1
1,2,1,2,1,1,26.0,0,0,1
1,1,0,24,3,2,263.0,0,0,1
0,2,1,28,0,0,13.0,0,0,1
0,2,1,25,0,0,13.0,0,0,1
0,2,1,36,0,0,13.0,0,0,1
1,2,0,24,0,0,13.0,0,0,1
1,2,0,40,0,0,13.0,0,0,1
1,3,0,28,1,0,16.1,0,0,1
1,3,1,3,1,1,15.9,0,0,1
0,3,1,42,0,0,8.66,0,0,1
0,3,1,23,0,0,9.22,0,0,1
0,1,1,28,0,0,35.0,0,0,1
0,3,1,15,1,1,7.23,1,0,0
0,3,1,25,1,0,17.8,0,0,1
0,3,1,28,0,0,7.22,1,0,0
0,3,1,28,0,0,9.5,0,0,1
1,1,0,22,0,1,55.0,0,0,1
0,2,0,38,0,0,13.0,0,0,1
1,3,0,28,0,0,7.88,0,1,0
1,3,0,28,0,0,7.88,0,1,0
0,3,1,40,1,4,27.9,0,0,1
0,2,1,29,1,0,27.72,1,0,0
0,3,0,45,0,1,14.45,1,0,0
0,3,1,35,0,0,7.05,0,0,1
0,3,1,28,1,0,15.5,0,1,0
0,3,1,30,0,0,7.25,0,0,1
1,1,0,60,1,0,75.25,1,0,0
1,3,0,28,0,0,7.23,1,0,0
1,3,0,28,0,0,7.75,0,1,0
1,1,0,24,0,0,69.3,1,0,0
1,1,1,25,1,0,55.44,1,0,0
0,3,1,18,1,0,6.5,0,0,1
0,3,1,19,0,0,8.05,0,0,1
0,1,1,22,0,0,135.63,1,0,0
0,3,0,3,3,1,21.08,0,0,1
1,1,0,28,1,0,82.17,1,0,0
1,3,0,22,0,0,7.25,0,0,1
0,1,1,27,0,2,211.5,1,0,0
0,3,1,20,0,0,4.01,1,0,0
0,3,1,19,0,0,7.78,0,0,1
1,1,0,42,0,0,227.52,1,0,0
1,3,0,1,0,2,15.74,1,0,0
0,3,1,32,0,0,7.92,0,0,1
1,1,0,35,1,0,52.0,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,2,1,18,0,0,73.5,0,0,1
0,3,1,1,5,2,46.9,0,0,1
1,2,0,36,0,0,13.0,0,0,1
0,3,1,28,0,0,7.73,0,1,0
1,2,0,17,0,0,12.0,1,0,0
1,1,1,36,1,2,120.0,0,0,1
1,3,1,21,0,0,7.8,0,0,1
0,3,1,28,2,0,7.92,0,0,1
1,1,0,23,1,0,113.28,1,0,0
1,3,0,24,0,2,16.7,0,0,1
0,3,1,22,0,0,7.8,0,0,1
0,3,0,31,0,0,7.85,0,0,1
0,2,1,46,0,0,26.0,0,0,1
0,2,1,23,0,0,10.5,0,0,1
1,2,0,28,0,0,12.65,0,0,1
1,3,1,39,0,0,7.92,0,0,1
0,3,1,26,0,0,8.05,0,0,1
0,3,0,21,1,0,9.82,0,0,1
0,3,1,28,1,0,15.85,0,0,1
0,3,0,20,0,0,8.66,0,0,1
0,2,1,34,1,0,21.0,0,0,1
0,3,1,51,0,0,7.75,0,0,1
1,2,1,3,1,1,18.75,0,0,1
0,3,1,21,0,0,7.78,0,0,1
0,3,0,28,3,1,25.47,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,3,1,28,0,0,6.86,0,1,0
1,1,0,33,1,0,90.0,0,1,0
0,2,1,28,0,0,0.0,0,0,1
1,3,1,44,0,0,7.92,0,0,1
0,3,0,28,0,0,8.05,0,0,1
1,2,0,34,1,1,32.5,0,0,1
1,2,0,18,0,2,13.0,0,0,1
0,2,1,30,0,0,13.0,0,0,1
0,3,0,10,0,2,24.15,0,0,1
0,3,1,28,0,0,7.9,1,0,0
0,3,1,21,0,0,7.73,0,1,0
0,3,1,29,0,0,7.88,0,0,1
0,3,0,28,1,1,14.4,0,0,1
0,3,1,18,1,1,20.21,0,0,1
0,3,1,28,0,0,7.25,0,0,1
1,2,0,28,1,0,26.0,0,0,1
1,2,0,19,0,0,26.0,0,0,1
0,3,1,28,0,0,7.75,0,1,0
1,3,1,32,0,0,8.05,0,0,1
1,1,1,28,0,0,26.55,0,0,1
1,3,0,28,1,0,16.1,0,0,1
1,2,0,42,1,0,26.0,0,0,1
0,3,1,17,0,0,7.12,0,0,1
0,1,1,50,1,0,55.9,0,0,1
1,1,0,14,1,2,120.0,0,0,1
0,3,0,21,2,2,34.38,0,0,1
1,2,0,24,2,3,18.75,0,0,1
0,1,1,64,1,4,263.0,0,0,1
0,2,1,31,0,0,10.5,0,0,1
1,2,0,45,1,1,26.25,0,0,1
0,3,1,20,0,0,9.5,0,0,1
0,3,1,25,1,0,7.78,0,0,1
1,2,0,28,0,0,13.0,0,0,1
1,3,1,28,0,0,8.11,0,0,1
1,1,1,4,0,2,81.86,0,0,1
1,2,0,13,0,1,19.5,0,0,1
1,1,1,34,0,0,26.55,0,0,1
1,3,0,5,2,1,19.26,1,0,0
1,1,1,52,0,0,30.5,0,0,1
0,2,1,36,1,2,27.75,0,0,1
0,3,1,28,1,0,19.97,0,0,1
0,1,1,30,0,0,27.75,1,0,0
1,1,1,49,1,0,89.1,1,0,0
0,3,1,28,0,0,8.05,0,0,1
1,3,1,29,0,0,7.9,1,0,0
0,1,1,65,0,0,26.55,0,0,1
1,1,0,28,1,0,51.86,0,0,1
1,2,0,50,0,0,10.5,0,0,1
0,3,1,28,0,0,7.75,0,1,0
1,1,1,48,0,0,26.55,0,0,1
0,3,1,34,0,0,8.05,0,0,1
0,1,1,47,0,0,38.5,0,0,1
0,2,1,48,0,0,13.0,0,0,1
0,3,1,28,0,0,8.05,0,0,1
0,3,1,38,0,0,7.05,0,0,1
0,2,1,28,0,0,0.0,0,0,1
0,1,1,56,0,0,26.55,0,0,1
0,3,1,28,0,0,7.72,0,1,0
1,3,0,0,2,1,19.26,1,0,0
0,3,1,28,0,0,7.25,0,0,1
0,3,1,38,0,0,8.66,0,0,1
1,2,0,33,1,2,27.75,0,0,1
1,2,0,23,0,0,13.79,1,0,0
0,3,0,22,0,0,9.84,0,0,1
0,1,1,28,0,0,52.0,0,0,1
0,2,1,34,1,0,21.0,0,0,1
0,3,1,29,1,0,7.05,0,0,1
0,3,1,22,0,0,7.52,0,0,1
1,3,0,2,0,1,12.29,0,0,1
0,3,1,9,5,2,46.9,0,0,1
0,2,1,28,0,0,0.0,0,0,1
0,3,1,50,0,0,8.05,0,0,1
1,3,0,63,0,0,9.59,0,0,1
1,1,1,25,1,0,91.08,1,0,0
0,3,0,28,3,1,25.47,0,0,1
1,1,0,35,1,0,90.0,0,0,1
0,1,1,58,0,0,29.7,1,0,0
0,3,1,30,0,0,8.05,0,0,1
1,3,1,9,1,1,15.9,0,0,1
0,3,1,28,1,0,19.97,0,0,1
0,3,1,21,0,0,7.25,0,0,1
0,1,1,55,0,0,30.5,0,0,1
0,1,1,71,0,0,49.5,1,0,0
0,3,1,21,0,0,8.05,0,0,1
0,3,1,28,0,0,14.46,1,0,0
1,1,0,54,1,0,78.27,1,0,0
0,3,1,28,0,0,15.1,0,0,1
0,1,0,25,1,2,151.55,0,0,1
0,3,1,24,0,0,7.8,0,0,1
0,3,1,17,0,0,8.66,0,0,1
0,3,0,21,0,0,7.75,0,1,0
0,3,0,28,0,0,7.63,0,1,0
0,3,0,37,0,0,9.59,0,0,1
1,1,0,16,0,0,86.5,0,0,1
0,1,1,18,1,0,108.9,1,0,0
1,2,0,33,0,2,26.0,0,0,1
1,1,1,28,0,0,26.55,0,0,1
0,3,1,28,0,0,22.52,0,0,1
1,3,1,26,0,0,56.5,0,0,1
1,3,1,29,0,0,7.75,0,1,0
0,3,1,28,0,0,8.05,0,0,1
1,1,1,36,0,0,26.29,0,0,1
1,1,0,54,1,0,59.4,1,0,0
0,3,1,24,0,0,7.5,0,0,1
0,1,1,47,0,0,34.02,0,0,1
1,2,0,34,0,0,10.5,0,0,1
0,3,1,28,0,0,24.15,0,1,0
1,2,0,36,1,0,26.0,0,0,1
0,3,1,32,0,0,7.9,0,0,1
1,1,0,30,0,0,93.5,0,0,1
0,3,1,22,0,0,7.9,0,0,1
0,3,1,28,0,0,7.22,1,0,0
1,1,0,44,0,1,57.98,1,0,0
0,3,1,28,0,0,7.23,1,0,0
0,3,1,40,0,0,7.75,0,1,0
1,2,0,50,0,0,10.5,0,0,1
0,1,1,28,0,0,221.78,0,0,1
0,3,1,39,0,0,7.92,0,0,1
0,2,1,23,2,1,11.5,0,0,1
1,2,0,2,1,1,26.0,0,0,1
0,3,1,28,0,0,7.23,1,0,0
0,3,1,17,1,1,7.23,1,0,0
1,3,0,28,0,2,22.36,1,0,0
0,3,0,30,0,0,8.66,0,0,1
1,2,0,7,0,2,26.25,0,0,1
0,1,1,45,0,0,26.55,0,0,1
1,1,0,30,0,0,106.42,1,0,0
0,3,1,28,0,0,14.5,0,0,1
1,1,0,22,0,2,49.5,1,0,0
1,1,0,36,0,2,71.0,0,0,1
0,3,0,9,4,2,31.28,0,0,1
0,3,0,11,4,2,31.28,0,0,1
1,2,1,32,1,0,26.0,0,0,1
0,1,1,50,1,0,106.42,1,0,0
0,1,1,64,0,0,26.0,0,0,1
1,2,0,19,1,0,26.0,0,0,1
1,2,1,28,0,0,13.86,1,0,0
0,3,1,33,1,1,20.52,0,0,1
1,2,1,8,1,1,36.75,0,0,1
1,1,1,17,0,2,110.88,1,0,0
0,2,1,27,0,0,26.0,0,0,1
0,3,1,28,0,0,7.83,0,1,0
1,3,1,22,0,0,7.22,1,0,0
1,3,0,22,0,0,7.78,0,0,1
0,1,1,62,0,0,26.55,0,0,1
1,1,0,48,1,0,39.6,1,0,0
0,1,1,28,0,0,227.52,1,0,0
1,1,0,39,1,1,79.65,0,0,1
1,3,0,36,1,0,17.4,0,0,1
0,3,1,28,0,0,7.75,0,1,0
0,3,1,40,0,0,7.9,0,0,1
0,2,1,28,0,0,13.5,0,0,1
0,3,1,28,0,0,8.05,0,0,1
0,3,0,28,0,0,8.05,0,0,1
0,3,1,24,2,0,24.15,0,0,1
0,3,1,19,0,0,7.9,0,0,1
0,3,0,29,0,4,21.08,0,0,1
0,3,1,28,0,0,7.23,1,0,0
1,3,1,32,0,0,7.85,0,0,1
1,2,1,62,0,0,10.5,0,0,1
1,1,0,53,2,0,51.48,0,0,1
1,1,1,36,0,0,26.39,0,0,1
1,3,0,28,0,0,7.75,0,1,0
0,3,1,16,0,0,8.05,0,0,1
0,3,1,19,0,0,14.5,0,0,1
1,2,0,34,0,0,13.0,0,0,1
1,1,0,39,1,0,55.9,0,0,1
0,3,0,28,1,0,14.46,1,0,0
1,3,1,32,0,0,7.92,0,0,1
1,2,0,25,1,1,30.0,0,0,1
1,1,0,39,1,1,110.88,1,0,0
0,2,1,54,0,0,26.0,0,0,1
0,1,1,36,0,0,40.12,1,0,0
0,3,1,28,0,0,8.71,1,0,0
1,1,0,18,0,2,79.65,0,0,1
0,2,1,47,0,0,15.0,0,0,1
1,1,1,60,1,1,79.2,1,0,0
0,3,1,22,0,0,8.05,0,0,1
0,3,1,28,0,0,8.05,0,0,1
0,3,1,35,0,0,7.12,0,0,1
1,1,0,52,1,0,78.27,1,0,0
0,3,1,47,0,0,7.25,0,0,1
0,3,0,28,0,2,7.75,0,1,0
0,2,1,37,1,0,26.0,0,0,1
0,3,1,36,1,1,24.15,0,0,1
1,2,0,28,0,0,33.0,0,0,1
0,3,1,49,0,0,0.0,0,0,1
0,3,1,28,0,0,7.22,1,0,0
1,1,1,49,1,0,56.93,1,0,0
1,2,0,24,2,1,27.0,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,1,1,28,0,0,42.4,0,0,1
0,3,1,44,0,0,8.05,0,0,1
1,1,1,35,0,0,26.55,1,0,0
0,3,1,36,1,0,15.55,0,0,1
0,3,1,30,0,0,7.9,0,0,1
1,1,1,27,0,0,30.5,0,0,1
1,2,0,22,1,2,41.58,1,0,0
1,1,0,40,0,0,153.46,0,0,1
0,3,0,39,1,5,31.28,0,0,1
0,3,1,28,0,0,7.05,0,0,1
1,3,0,28,1,0,15.5,0,1,0
0,3,1,28,0,0,7.75,0,1,0
0,3,1,35,0,0,8.05,0,0,1
1,2,0,24,1,2,65.0,0,0,1
0,3,1,34,1,1,14.4,0,0,1
0,3,0,26,1,0,16.1,0,0,1
1,2,0,4,2,1,39.0,0,0,1
0,2,1,26,0,0,10.5,0,0,1
0,3,1,27,1,0,14.45,1,0,0
1,1,1,42,1,0,52.55,0,0,1
1,3,1,20,1,1,15.74,1,0,0
0,3,1,21,0,0,7.85,0,0,1
0,3,1,21,0,0,16.1,0,0,1
0,1,1,61,0,0,32.32,0,0,1
0,2,1,57,0,0,12.35,0,1,0
1,1,0,21,0,0,77.96,0,0,1
0,3,1,26,0,0,7.9,0,0,1
0,3,1,28,0,0,7.73,0,1,0
1,1,1,80,0,0,30.0,0,0,1
0,3,1,51,0,0,7.05,0,0,1
